Type,title,Price VND,Price USD,Area (m2),Width,Length,bedrooms,bathrooms,district,price,,
House,"Tòa nhà trước mặt Nguyễn Văn Đừng, Q.5 – diện tích S lớn, giá thấp",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"Chính chủ bán tòa nhà 8 tầng Q5 – Vị trí đẹp, chất lượng cao",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"Chính chủ bán tòa nhà 8 tầng Quận 5 – địa chỉ đẹp, giá trị cao",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"Cơ hội đầu tư: Tòa nhà mặt tiền Quận 5, kết cấu 8 tầng, giá 75 tỷ",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"Sở hữu ngay tòa nhà trung tâm Quận 5 – 1 tầng hầm, 8 tầng nổi",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,Tòa nhà 8 tầng đắc địa Quận 5 – Chính chủ cần bán nhanh,75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"Gia đình tôi cần bán  61-63 Nguyễn Văn Đừng, Phường 6, Quận 5",75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,Bán Tòa Nhà 61-63 Nguyễn Văn Đừng - Phường 6 - Quận 5,75000000000,"3,000,000",144,50,45,2,2,Quan 5,20833.33,,
House,"VỊ TRÍ ĐẮC ĐỊA
Nhà Mặt Phố
Nguyễn Thiện Thuật",13500000000,"540,000",26,3,8.7,4,4,Quan 3,20769.23,,
House,"* **68TỶ TL_SIÊU HIẾM QUẬN 5_NGAY TRẦN BÌNH TRỌNG_ NGUYỄN TRÃI NGANGTO (8x18,1)",68000000000,"2,720,000",145,8,18.1,3,3,Quan 5,18758.62,,
House,"Bán Nhà MẶT TIỀN KD đường Hoàng Văn Thụ,Q.Phú Nhuận,DT:7mx27m,KC:,7 lầu,Giá:85 tỷ",85000000000,"3,400,000",189,7,27,1,1,Quan Phu Nhuan,17989.42,,
House,"Nhà mặt tiền ,khu sầm uất ,hợp đồng cho thuê giá luôn tăng ,",38000000000,"1,520,000",85,3,85,7,8,Quan 1,17882.35,,
House,"Ngay chung cư KingDom Quận 10, 4 tầng, nhà có phòng xông hơi, ô tô tránh chỉ 10.9 tỷ,",10900000000,"436,000",30,6,5,3,4,Quan 10,14533.33,,
House,*** BÁN NHÀ MẶT TIỀN 5 LẦU_AN ĐIỀM_NGÔ QUYỀN_NGAY PCC QUẬN 5,45000000000,"1,800,000",124,7.3,17,6,6,Quan 5,14516.13,,
House,"Bán Nhà MẶT TIỀN KD đường Trần Hưng Đạo,Q.5,DT:4mx22m,KC:,TRỆT,1 lầu,,Giá:30 tỷ",30000000000,"1,200,000",88,4,22,4,5,Quan 5,13636.36,,
Apartment,"Bán CĂN HỘ DV Hẻm THÔNG Xe Hơi 7/XY đường Nguyễn Trãi,Q.1,DT:5mx15m,KC:6 lầu,Giá:25 tỷ",25000000000,"1,000,000",75,5,15,1,1,Quan 1,13333.33,,
House,Hẻm Ôtô Đường Hai Bà Trưng Quận 3 Phường 8.,14800000000,"592,000",45,4.6,10,3,4,Quan 3,13155.56,,
House,Siêu Phẩm Hẻm Ôtô Đường Nguyễn Đình Chiểu Quận 3 Phường 2.,13000000000,"520,000",40,4.4,9.6,4,6,Quan 3,13000,,
House,"Diện tích 13x5m. Bán nhà mặt tiền sát Phan Đăng Lưu, Phú Nhuận, kết cấu 3 tầng, giá 20 tỷ TL",20000000000,"800,000",62,13,5,5,6,Quan Phu Nhuan,12903.23,,
House,HÀNG HIẾM - BÁN NHÀ MẶT TIÊN - QUẬN BÌNH THẠNH - GIÁ 16.6 TỶ - SẴN HỢP ĐỒNG THUÊ,16600000000,"664,000",52,4,13,4,4,Quan Binh Thanh,12769.23,,
Land,Mặt Tiền Phạm Văn Hai Phường 2 Tân Bình.,16800000000,"672,000",53,3.6,14.6,5,3,Quan Tan Binh,12679.25,,
House,Hẻm Ôtô Tải Như Đường Nguyễn Thiện Thuật Quận 3 Phường 3.,9500000000,"380,000",30,3,10,3,4,Quan 3,12666.67,,
House,"DIỆN TÍCH KHỦNG ĐƯỜNG NGUYỄN TRÃI ,P. NGUYỄN CƯ TRINH, QUẬN 1- 700m2 - full THỔ CƯ - GIÁ 220 TỶ.",2.2E+11,"8,800,000",700,19,35,3,2,Quan 1,12571.43,,
House,HXH VIP Quận 1 Sát CATP 5 Tầng Sân Thượng Chỉ 13.x Tỷ,13400000000,"536,000",43,3.6,12,4,5,Quan 1,12465.12,,
Villa,"BÁN GẤP BIỆT THỰ, DIỆN TÍCH 327,5m2 GIÁ 100 TỶ - HOTLINE: 0984.388.599",1E+11,"4,000,000",327,17,20,6,6,Quan 2,12232.42,,
Villa,"BÁN GẤP DINH THỰ, DIỆN TÍCH 780m² GIÁ 235 TỶ - HOTLINE: 0984.388.599",2.35E+11,"9,400,000",780,17,50,6,6,Quan 2,12051.28,,
Land,"CHỈ 31.2 TỶ, MẶT TIỀN HẺM XE HƠI-TRẦN KHÁNH DƯ- DT 105M2 (4 X 25)",31200000000,"1,248,000",105,4,25,3,2,Quan 1,11885.71,,
House,"Bán Nhà MẶT TIỀN KD đường Huyền Quang,Q.1,DT:4mx15m,KC:3 lầu,Giá:17,6 tỷ",17600000000,"704,000",60,4,15,6,7,Quan 1,11733.33,,
House,Bán nhà mặt tiền phố- Tích Quảng Duc- Quận Phú nhuận,7600000000,"304,000",26,3.1,8.1,3,3,Quan Phu Nhuan,11692.31,,
House,"Bán ngôi nhà trước mặt hoạt động Lâm Văn Bền, Q.7 - ngay Nguyễn Thị Thập - Hơn 12 tỷ",12500000000,"500,000",43,4.3,10,3,3,Quan 7,11627.91,,
House,HẺM 10M CÁCH MẠNG THÁNG TÁM QUẬN 3 - 4 TẦNG MỚI ĐẸP CHỈ HƠN 6 TỶ,6650000000,"266,000",23,3.5,6.6,4,5,Quan 3,11565.22,,
House,5 TẦNG HXH TÔ HIẾN THÀNH Q10 DÒNG TIỀN 60TR 12.x T,12200000000,"488,000",43,3.9,11,6,6,Quan 10,11348.84,,
